data size,exec time omp_num_threads eq 1,exec time omp_num_threads eq 4,exec time omp_num_threads eq 16,exec time omp_num_threads eq 64
10,0.0000080,0.0001090,0.0004370,0.0017690
30,0.0000100,0.0030530,0.0004100,0.0020880
100,0.0000220,0.0024110,0.0007750,0.0040840
300,0.0000640,0.0001020,0.0007330,0.0036560
1000,0.0002850,0.0002340,0.0019450,0.0094590
3000,0.0013040,0.0006280,0.0046260,0.0187780
10000,0.0063960,0.0031120,0.0065020,0.0303200
30000,0.0284330,0.0140230,0.0233300,0.0863930
100000,0.1807940,0.0869730,0.1007320,0.1309300
300000,0.8470700,0.3996100,0.4347680,0.6160430
1000000,6.4085520,3.1264640,3.3417400,3.6029470
3000000,31.4815150,15.6483490,16.0363680,16.8916190
10000000,205.9647760,103.3411570,103.4814350,104.4359160
